# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
797 -344.289 -656.729 -458.553
798 -323.717 -711.287 -493.887
799 -312.257 -763.792 -515.703
800 -311.181 -809.15 -524.537
801 -320.121 -842.642 -522.977
802 -337.069 -860.981 -515.267
803 -358.682 -862.683 -506.589
804 -381.747 -848.429 -501.734
805 -403.582 -821.167 -504.356
806 -422.404 -785.097 -516.088
807 -438.215 -745.323 -536.391
808 -452.104 -706.887 -563.259
809 -465.824 -673.483 -594.188
810 -480.083 -647.147 -626.255
811 -495.354 -628.107 -658.15
812 -510.931 -614.444 -688.881
813 -525.077 -603.326 -718.081
814 -535.62 -591.381 -745.437
815 -539.671 -574.973 -770.26
816 -535.103 -551.58 -791.819
817 -521.187 -520.052 -809.381
818 -498.032 -479.477 -822.586
819 -467.828 -430.475 -830.982
820 -432.976 -373.913 -834.707
821 -397.377 -310.856 -833.716
822 -363.374 -242.715 -828.113
823 -333.741 -170.98 -818.826
824 -309.604 -97.0923 -806.826
825 -291.602 -23.3707 -794.052
826 -279.268 47.9951 -782.623
827 -270.995 114.522 -774.456
828 -264.684 173.881 -769.865
829 -257.786 223.417 -768.531
